contract_type,partner_sponsor_name,amount_in_crores_2025,total_deal_value_in_crores,contract_duration
Title Sponsor,Tata Group,500.0,2500.0,5 Years (2024 - 2028)
Associate Partner,My11Circle,125.0,625.0,5 Years (2024 - 2028)
Associate Partner,Angel One,82.0,410.0,5 Years (2024 - 2028)
Associate Partner,RuPay,42.0,210.0,5 Years (2024 - 2028)
Official Broadcaster (TV),Star Sports,4715.0,23575.0,5 Years (2024 - 2028)
Official Digital Streaming Partner,JioCinema (Viacom18),4751.0,23758.0,5 Years (2024 - 2028)
Official Strategic Timeout Partner,CEAT,,,5 Years (2024 - 2028)
Official Umpire Partner,Wonder Cement,,,5 Years (2024 - 2028)
Official Orange & Purple Cap Partner,Aramco,,,5 Years (2024 - 2028)
