,sno,brand_name,product_type,celebrity_name,celebrity_influence,social_risk_description,health_risk_index
0,1,Vishnu Packaging (Vimal Elaichi),Pan Masala/Mouth Freshener,"Shah Rukh Khan, Ajay Devgn, Akshay Kumar",Extremely High,Extremely High - Carcinogenic (Surrogate Ads),0.0
1,2,Sporta Technologies (Dream11),Fantasy Gaming / Betting,"Rohit Sharma, Aamir Khan, Ranbir Kapoor, Varun Dhawan, Hardik Pandya, others",Very  High,Extremely High - Promotes Gambling,0.0
2,3,Reliance Consumer Products,FMCG / Beverages,multiple,Medium,Moderate  (Sugar Content),0.0
3,4,My11Circle,Fantasy Gaming / Betting,"Sourav Ganguly, Shubman Gill, Mohammed Siraj, Ruturaj Gaikwad, Rinku Singh, Yashasvi Jaiswal",High,Extremely High - Promotes Gambling,0.0
4,5,Rajshree Silver Coated Elaichi,Pan Masala/Mouth Freshener,Salman Khan,Very  High,Carcinogenic (Surrogate Ads),0.0
5,6,Parle Biscuits,FMCG (Biscuits & Snacks),"Ananya Panday, Lakshya (Hide & Seek)",Moderate,Moderate  (Sugar Content),0.0
6,7,Kamla Pasand,Pan Masala/Mouth Freshener,"Virender Sehwag, Sunil Gavaskar (2025), previously Ranveer Singh, Amitabh Bachchan",Very  High,Carcinogenic (Surrogate Ads),0.0
7,8,PokerBaazi,Fantasy Gaming / Betting,Shahid Kapoor,High,Extremely High - Promotes Gambling,0.0
8,9,Britannia 50-50,FMCG (Biscuits & Snacks),multiple,Medium,Moderate  (Sugar Content),0.0
9,10,Amazon Prime,OTT/Entertainment,"Varun Dhawan, Alia Bhatt",High,Low ,0.0
